brand,username,user_id,fbid,fb_profile_biolink,category_name,is_verified,is_business_account,is_professional_account,biography,external_url,followers,following,posts_count,bio_links_count,profile_pic_url_hd,is_private_detailed,business_type,business_email,city_name,city_id,latitude,longitude,street_address,zip_code
Allianz,allianz,214036577,17841400617313344,,,TRUE,TRUE,TRUE,Insuring the world for 135 years. #StepIntoLife,https://www.allianz.com/en/privacy-statement.html,156605,116,530,5,https://instagram.fhmo2-4.fna.fbcdn.net/v/t51.2885-19/229910399_359425735591618_187484384959667716_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fhmo2-4.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFR0-TMKylF7bk-A2zutqkL8qYP3Ei_aeqQ6H5z5bx0YNB8ezS8ndmS2FYzvq3Eh2rhAR7pPw5SKGs1eMyzb7Zy&_nc_ohc=Z2KkAsObuWkQ7kNvwEt1uzx&_nc_gid=m4JXagFNila5cWcDdD9MSg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfuKaq5deA6UgyrepVbkA-MNqVlNHfor-nzkk-AgwPDQ7g&oe=699BD549&_nc_sid=8b3546,FALSE,B2C,,,,,,,
Amazon Web Services,amazonwebservices,1437392412,17841400492382459,,,TRUE,TRUE,TRUE,Amazon Web Services (AWS),https://go.aws/linkinbio,745521,34,2265,1,https://scontent-ham3-1.cdninstagram.com/v/t51.2885-19/519610874_18518185246016413_8513266898904296858_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40MDAuYzIifQ&_nc_ht=scontent-ham3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFdQV6CwMRVuSMwQMWKj4puH88XRYPngwvL6jlZ5mz7uEX2rmcS6WqglCHfVuGNa0E&_nc_ohc=2QJzxfQ9P3cQ7kNvwFoYjZg&_nc_gid=1pZNEh4DC_teKCH9vA12AQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afua7GzFpKLyQVkzKFfyB8uZCfR9UWILql-i5WWMeNDAYQ&oe=699BDDF1&_nc_sid=8b3546,FALSE,B2B,,,,,,,
Aramco,aramco,1815950256,17841400427708374,,,TRUE,TRUE,TRUE,where energy is opportunity,http://aramco.com/,761960,5,1208,1,https://scontent-mia5-1.cdninstagram.com/v/t51.2885-19/11142317_881413848588839_471427014_a.jpg?efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-mia5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGyRi_DmYksK7KD-2Tjp3bpVCiN3Vhj48BpdFe6qhBQyYcapTRJ-v6kQfRqfmLlswNs3_st6WHD3Er-7PL07xL4&_nc_ohc=tPe_iSpccW0Q7kNvwEuBew-&_nc_gid=MTdJFV7Acb2LCCFtF0FmuA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvdscPSWLq7afWh2YS1dNp23a93RDJDW9502UU7dK1v8Q&oe=699C00A5&_nc_sid=8b3546,FALSE,B2B,,,,,,,
Budweiser,budweiser,,,,,,,,,,,,,,,,B2C,,,,,,,
Coca-Cola,cocacola,249655166,17841401654983900,,,TRUE,TRUE,TRUE,Classic since always.,https://jbalvin.lnk.to/Jump,3297555,321,111,1,https://instagram.fktp2-1.fna.fbcdn.net/v/t51.2885-19/523950056_18523651255055167_2245698456638123079_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDUyLmMyIn0&_nc_ht=instagram.fktp2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFOqv4oHxiYDPRPaHe1WmHz73NmDgjpWgeqVsWzr-hyRdfyQSv0YTkVuC3KS0B-_ME&_nc_ohc=MTyM4XHDS2cQ7kNvwF2sl2q&_nc_gid=ZlGZyxb5YxVTYs3y8LxjTw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Aft-vHJEUf8QNLENz_huLcfHNGC8pVll63E0fZt4EnXnGw&oe=699F8BE8&_nc_sid=8b3546,FALSE,B2C,,,,,,,
Deloitte,deloitte,2866331,17841401509930044,,,TRUE,TRUE,TRUE,"At Deloitte, we make an impact that matters.",http://deloi.tt/visitsite,326383,91,1665,1,https://instagram.fruh4-6.fna.fbcdn.net/v/t51.2885-19/363883867_660645715934935_2865896208897472178_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NDUuYzIifQ&_nc_ht=instagram.fruh4-6.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QFc73rwCQvTTFS_F-CYQR4nD9FBGno-0M0OfIzoCjH6XljMfARuvyw3dj1YP_fzm0s&_nc_ohc=PI7qJeU0nScQ7kNvwETrjvy&_nc_gid=saBVq1YzQWJc08zvxcsfJw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfvAnU3ukOYRPaHq9u3Dshth9xfJp-16wk3JdmxIRWEykw&oe=699BD64D&_nc_sid=8b3546,FALSE,B2B,,,,,,,
Deutsche Telekom,deutschetelekom,2160231852,17841402395560028,,,TRUE,TRUE,TRUE,"Content wie unser Netz: schnell, stabil, Magenta. 💖",http://www.telekom.com/impressum,92809,317,2805,5,https://scontent-fco2-1.cdninstagram.com/v/t51.2885-19/588592318_18493155853079853_4821657784614989054_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDAwLmMyIn0&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFo784GqiqUUgcc3w409_izeqX7vF9ZZFAszXqeK7yM5XqBnFLX0NZODPZ285PsWbQ&_nc_ohc=oG42A_fx6QcQ7kNvwGkP_Hc&_nc_gid=iB887D2oG3qr0cDBga-44Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfuJLLMaLuPm1DsRwIBC9xnwDSIyMk7ZdVQ1j4-dS9mBgw&oe=699BE947&_nc_sid=8b3546,FALSE,B2B,,,,,,,
Google,google,1067259270,17841401778116675,,Internet company,TRUE,TRUE,TRUE,Here to help,https://linkin.bio/google,15727410,40,3119,1,https://instagram.fksc2-1.fna.fbcdn.net/v/t51.2885-19/628719393_18573357544059271_867117168063154483_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fksc2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGvJJX4WAbQVJiHW7o7dNWa8qQzi7IlYuhMarCoYCWeI3Kzgmq99KZH1qjRm9byAl0&_nc_ohc=3VAEgXmPnzoQ7kNvwGJwoA9&_nc_gid=tG0nvnHuFufNX76vHLBGyQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfskR97rdE6-fS_4BVm2SXOFHpk9cZwYW61cKK7sWwPAfw&oe=699BE29F&_nc_sid=8b3546,FALSE,B2C,,,,,,,
Google,googlepixel,8482988871,17841408546140373,,Community Organization,TRUE,TRUE,TRUE,A perfect 10 📱,https://goo.gle/4rqwC6F,1320749,24,1142,1,https://instagram.fhyd11-2.fna.fbcdn.net/v/t51.2885-19/535851917_18288667816284872_3274364365496847496_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhyd11-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QG3fAy1jq18ry-Lb8Uy012L7EEeLZl2WQ1wj3mvYr0fpkXcgfDB91U1vJOVpc3fltY&_nc_ohc=Ezhp6Yqh5qAQ7kNvwHuBZyT&_nc_gid=UFF6RCK2dYT_uSAYy719eQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfunS2R2jU_vYIVR_gPqgTl0Vy9QHDOxhTOUc3Q6-yPxrg&oe=699BECDA&_nc_sid=8b3546,FALSE,B2C,,"Mountain View, California",108212625870265.0,37.38967,-122.08161,,
Google,madebygoogle,4512854723,17841404521714106,,,TRUE,TRUE,TRUE,"Designed for your everyday.
#Pixel10, 10 Pro, 10 Pro Fold & 10a with @GoogleGemini, #PixelWatch, #PixelBuds, #PixelTablet, #GoogleNest & @Fitbit",https://goo.gle/4s1jm8s,1427048,34,1126,1,https://scontent-nrt1-2.cdninstagram.com/v/t51.2885-19/559663389_18376521961150724_1055732466496712355_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QF22g0ewF7ZV2c-3lX3DF4ilLEROi2MJusp4s30_Bc918fXYZZneFqcY3NOvF8QVq7kdsY8zZqcQf-eND5REyUu&_nc_ohc=P4hzmrVnKC0Q7kNvwF5ESvP&_nc_gid=7A3vbKpKVFFjJjtI2sAhdw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfsxUN9yuBh4i393eEgFYfsGymHcmQQdc-kM760tMSx85w&oe=699BDAA1&_nc_sid=8b3546,FALSE,B2B,,,,,,,
