run_id,username,user_id,brand,started_at,ended_at,status,pages_fetched,posts_fetched,error_type,error_message,raw_files
20260308_181650,nike,13460080,,2026-03-08T18:16:50.105855,2026-03-08T18:17:10.846445,success,2,23,,,nike_20260308_181650_page1.json;nike_20260308_181650_page2.json
1773025068,nike,13460080,,2026-03-08T18:57:48.836961,2026-03-08T18:58:09.549464,success,2,23,,,nike_1773025068_page1.json;nike_1773025068_page2.json
