Final_cat,Brand,username,date of scrape
Healthcare Services,Aetna,aetna,
Healthcare Services,UnitedHealthcare,unitedhealthcare,
Healthcare Services,Cigna,cignahealthcare,
Healthcare Services,Optum,optum,
Healthcare Services,Evernorth,evernorth,
Healthcare Services,Humana,humana,
Insurance,Zurich,zurichinsurance,
Insurance,AIA,aia.group,
Insurance,Progressive,progressive,
Insurance,Allianz,allianz,
Insurance,Poste Italiane,posteitaliane,
Insurance,LIC,licindiaforever,
Insurance,Allstate,allstate,
Insurance,GEICO,geico,
Insurance,The Hartford,thehartford,
Insurance,Chubb,chubbglobal,
Insurance,Aviva,avivaplc,
Logistics,FedEx,fedex,
Logistics,UPS,ups,
Logistics,USPS,uspostalservice,
Logistics,DHL,dhl_global,
Logistics,Union Pacific,uprr,
Media,Netflix,netflix,
Media,Activision Blizzard,activisionblizzard,
Media,Google,google,
Media,Electronic Arts,ea,
Media,NBC,nbc,
Media,LinkedIn,linkedin,
Media,TikTok,tiktok,
Media,ABC,abc,
Media,Facebook,facebook,
Media,Spotify,spotify,
Media,Warner Bros,warnerbros,
Media,Instagram,Instagram,
Media,Disney,disney,
Media,Fox,foxnews,
Media,Universal,universalpictures,
Media,YouTube,youtube,
Media,CBS,cbstv,
Media,BBC,bbc,
Media,ESPN,espn,
Oil & Gas,Chevron,chevron,
Oil & Gas,Shell,shell,
Oil & Gas,Aramco,aramco,
Oil & Gas,ConocoPhillips,conocophillips,
Oil & Gas,ADNOC,adnocgroup,
Oil & Gas,ExxonMobil,exxonMobil,
Oil & Gas,Marathon Petroleum,marathonpetroleum,
Oil & Gas,BP,bp_plc,
Oil & Gas,SLB,slb_global,
Oil & Gas,TotalEnergies,totalenergies,
Oil & Gas,Phillips 66,phillips66gas,
Personal Care,Loreal,lorealparis,
Personal Care,Gillette,gillette,
Personal Care,Lancôme,lancomeofficial,
Personal Care,Olay,olay,
Personal Care,Head & Shoulders,headandshoulders,
Personal Care,Maybelline,maybelline,
Personal Care,Estée Lauder,esteelauder,
Personal Care,L’Oréal Paris,lorealparis,
Personal Care,Nivea,nivea,
Personal Care,Garnier,garnierusa,
Personal Care,Colgate,colgateus,
Personal Care,Dove,dove,
Personal Care,Guerlain,guerlain,
Pharma,Merck & Co,merckgroup,
Pharma,Novo Nordisk,novonordisk,
Pharma,Lilly,elilillyco,
Pharma,Philips,philips,
Pharma,Bayer,bayerofficial,
Pharma,Medtronic,medtronic,
Restaurants,Chipotle,chipotle,
Restaurants,Burger King,burgerking,
Restaurants,McDonald’s,mcdonalds,
Restaurants,Wendy's,wendys,
Restaurants,Tim Hortons,timhortons,
Restaurants,KFC,kfc,
Restaurants,Starbucks,starbucks,
Restaurants,Pizza Hut,pizzahut,
Restaurants,Taco Bell,tacobell,
Restaurants,Chick-fil-A,chickfila,
Restaurants,Subway,subway,
Restaurants,Domino’s Pizza,dominos,
Retail,Walgreens,walgreens,
Retail,Kroger,krogerco,
Retail,Aldi,aldiusa,
Retail,Circle K,circlekstores,
Retail,Shopify,shopify,
Retail,Sephora,sephora,
Retail,Lowe’s,loweshomeimprovement,
Retail,Lidl,lidlgb,
Retail,Amazon,amazon,
Retail,CVS Health,cvshealth,
Retail,Publix,publix,
Retail,Target,target,
Retail,Tesco,tesco,
